age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,362,198,164,10,19,United States,2020-01-01,2022-10-15
1-4 years,194,101,93,10,19,United States,2020-01-01,2022-10-15
5-14 years,416,210,206,10,19,United States,2020-01-01,2022-10-15
15-24 years,2829,1680,1149,10,19,United States,2020-01-01,2022-10-15
25-34 years,11761,7204,4557,10,19,United States,2020-01-01,2022-10-15
35-44 years,28878,17902,10976,10,19,United States,2020-01-01,2022-10-15
45-54 years,68924,44021,24903,10,19,United States,2020-01-01,2022-10-15
55-64 years,152795,94051,58744,10,19,United States,2020-01-01,2022-10-15
65-74 years,241151,143174,97977,10,19,United States,2020-01-01,2022-10-15
75-84 years,274660,154029,120631,10,19,United States,2020-01-01,2022-10-15
85 years and over,278536,122641,155895,10,19,United States,2020-01-01,2022-10-15
