age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,433,241,192,02,22,United States,2020-01-01,2023-02-18
1-4 years,241,130,111,02,22,United States,2020-01-01,2023-02-18
5-14 years,454,231,223,02,22,United States,2020-01-01,2023-02-18
15-24 years,2933,1738,1195,02,22,United States,2020-01-01,2023-02-18
25-34 years,12098,7418,4680,02,22,United States,2020-01-01,2023-02-18
35-44 years,29563,18290,11273,02,22,United States,2020-01-01,2023-02-18
45-54 years,70331,44793,25538,02,22,United States,2020-01-01,2023-02-18
55-64 years,156781,96214,60567,02,22,United States,2020-01-01,2023-02-18
65-74 years,250391,148388,102003,02,22,United States,2020-01-01,2023-02-18
75-84 years,289363,162085,127278,02,22,United States,2020-01-01,2023-02-18
85 years and over,298268,131470,166798,02,22,United States,2020-01-01,2023-02-18
