age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,219,122,97,02,23,United States,2020-01-01,2022-02-19
1-4 years,99,51,48,02,23,United States,2020-01-01,2022-02-19
5-14 years,266,140,126,02,23,United States,2020-01-01,2022-02-19
15-24 years,2444,1438,1006,02,23,United States,2020-01-01,2022-02-19
25-34 years,10339,6355,3984,02,23,United States,2020-01-01,2022-02-19
35-44 years,25958,16199,9759,02,23,United States,2020-01-01,2022-02-19
45-54 years,62758,40410,22348,02,23,United States,2020-01-01,2022-02-19
55-64 years,137306,84888,52418,02,23,United States,2020-01-01,2022-02-19
65-74 years,213988,127271,86717,02,23,United States,2020-01-01,2022-02-19
75-84 years,240372,134970,105402,02,23,United States,2020-01-01,2022-02-19
85 years and over,240397,105172,135225,02,23,United States,2020-01-01,2022-02-19
