age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,180,98,82,01,12,United States,2020-01-01,2022-01-08
1-4 years,79,40,39,01,12,United States,2020-01-01,2022-01-08
5-14 years,218,121,97,01,12,United States,2020-01-01,2022-01-08
15-24 years,2158,1284,874,01,12,United States,2020-01-01,2022-01-08
25-34 years,9170,5646,3524,01,12,United States,2020-01-01,2022-01-08
35-44 years,23244,14568,8676,01,12,United States,2020-01-01,2022-01-08
45-54 years,56198,36346,19852,01,12,United States,2020-01-01,2022-01-08
55-64 years,122090,75781,46309,01,12,United States,2020-01-01,2022-01-08
65-74 years,190641,113748,76893,01,12,United States,2020-01-01,2022-01-08
75-84 years,214501,120306,94195,01,12,United States,2020-01-01,2022-01-08
85 years and over,216475,93682,122793,01,12,United States,2020-01-01,2022-01-08
