age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,371,205,166,11,02,United States,2020-01-01,2022-10-29
1-4 years,198,102,96,11,02,United States,2020-01-01,2022-10-29
5-14 years,419,211,208,11,02,United States,2020-01-01,2022-10-29
15-24 years,2839,1686,1153,11,02,United States,2020-01-01,2022-10-29
25-34 years,11794,7223,4571,11,02,United States,2020-01-01,2022-10-29
35-44 years,28934,17938,10996,11,02,United States,2020-01-01,2022-10-29
45-54 years,69077,44094,24983,11,02,United States,2020-01-01,2022-10-29
55-64 years,153210,94275,58935,11,02,United States,2020-01-01,2022-10-29
65-74 years,242055,143663,98392,11,02,United States,2020-01-01,2022-10-29
75-84 years,276039,154799,121240,11,02,United States,2020-01-01,2022-10-29
85 years and over,280340,123444,156896,11,02,United States,2020-01-01,2022-10-29
