region,subregion_or_country,type_geo,country_province_or_state,deaths,month,day,date_ihme_prod
EUROPE,Northern Europe,country,Sweden,5257.798,08,24,2020_05_28
EUROPE,Northern Europe,country,United Kingdom,44388.863,08,24,2020_05_28
EUROPE,Southern Europe,country,Italy,43297.302,08,24,2020_05_28
EUROPE,Southern Europe,country,Spain,36235.144,08,24,2020_05_28
EUROPE,Western Europe,country,Belgium,9698.804,08,24,2020_05_28
EUROPE,Western Europe,country,France,31466.144,08,24,2020_05_28
EUROPE,Western Europe,country,Germany,9145.755,08,24,2020_05_28
EUROPE,Western Europe,country,Netherlands,6126.709,08,24,2020_05_28
EUROPE,Western Europe,country,Switzerland,1931.061,08,24,2020_05_28
NORTHERN AMERICA,NORTHERN AMERICA,country,Canada,8147.794,08,24,2020_05_28
NORTHERN AMERICA,NORTHERN AMERICA,country,United States of America,135108.529166523,08,24,2020_05_28
NORTHERN AMERICA,United States of America,state_province,California,12951.414463659,08,24,2020_05_28
NORTHERN AMERICA,United States of America,state_province,Connecticut,4251.03668960086,08,24,2020_05_28
NORTHERN AMERICA,United States of America,state_province,Illinois,6370.53707325516,08,24,2020_05_28
NORTHERN AMERICA,United States of America,state_province,Louisiana,2946.66016561655,08,24,2020_05_28
NORTHERN AMERICA,United States of America,state_province,Massachusetts,9002.62949370388,08,24,2020_05_28
NORTHERN AMERICA,United States of America,state_province,Michigan,5986.2183823757,08,24,2020_05_28
NORTHERN AMERICA,United States of America,state_province,New Jersey,12576.6497086071,08,24,2020_05_28
NORTHERN AMERICA,United States of America,state_province,New York,31294.7997966856,08,24,2020_05_28
NORTHERN AMERICA,United States of America,state_province,Pennsylvania,6417.64783949126,08,24,2020_05_28
