age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,323,183,140,08,10,United States,2020-01-01,2022-08-06
1-4 years,173,89,84,08,10,United States,2020-01-01,2022-08-06
5-14 years,380,193,187,08,10,United States,2020-01-01,2022-08-06
15-24 years,2757,1636,1121,08,10,United States,2020-01-01,2022-08-06
25-34 years,11506,7058,4448,08,10,United States,2020-01-01,2022-08-06
35-44 years,28385,17614,10771,08,10,United States,2020-01-01,2022-08-06
45-54 years,67847,43409,24438,08,10,United States,2020-01-01,2022-08-06
55-64 years,150117,92529,57588,08,10,United States,2020-01-01,2022-08-06
65-74 years,235649,140023,95626,08,10,United States,2020-01-01,2022-08-06
75-84 years,266395,149522,116873,08,10,United States,2020-01-01,2022-08-06
85 years and over,267612,117678,149934,08,10,United States,2020-01-01,2022-08-06
