age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,140,72,68,11,03,United States,2020-01-01,2021-10-30
1-4 years,66,32,34,11,03,United States,2020-01-01,2021-10-30
5-14 years,185,99,86,11,03,United States,2020-01-01,2021-10-30
15-24 years,1783,1059,724,11,03,United States,2020-01-01,2021-10-30
25-34 years,7701,4729,2972,11,03,United States,2020-01-01,2021-10-30
35-44 years,19547,12308,7239,11,03,United States,2020-01-01,2021-10-30
45-54 years,48107,31221,16886,11,03,United States,2020-01-01,2021-10-30
55-64 years,106269,66132,40137,11,03,United States,2020-01-01,2021-10-30
65-74 years,169188,101458,67730,11,03,United States,2020-01-01,2021-10-30
75-84 years,194660,109220,85440,11,03,United States,2020-01-01,2021-10-30
85 years and over,200518,86299,114219,11,03,United States,2020-01-01,2021-10-30
