age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,170,94,76,12,29,United States,2020-01-01,2021-12-25
1-4 years,75,37,38,12,29,United States,2020-01-01,2021-12-25
5-14 years,209,113,96,12,29,United States,2020-01-01,2021-12-25
15-24 years,2094,1244,850,12,29,United States,2020-01-01,2021-12-25
25-34 years,8865,5453,3412,12,29,United States,2020-01-01,2021-12-25
35-44 years,22496,14091,8405,12,29,United States,2020-01-01,2021-12-25
45-54 years,54432,35195,19237,12,29,United States,2020-01-01,2021-12-25
55-64 years,118493,73601,44892,12,29,United States,2020-01-01,2021-12-25
65-74 years,185613,110853,74760,12,29,United States,2020-01-01,2021-12-25
75-84 years,209701,117684,92017,12,29,United States,2020-01-01,2021-12-25
85 years and over,212658,91929,120729,12,29,United States,2020-01-01,2021-12-25
