age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,113,61,52,09,22,United States,2020-01-01,2021-09-18
1-4 years,57,28,29,09,22,United States,2020-01-01,2021-09-18
5-14 years,148,82,66,09,22,United States,2020-01-01,2021-09-18
15-24 years,1372,821,551,09,22,United States,2020-01-01,2021-09-18
25-34 years,6054,3773,2281,09,22,United States,2020-01-01,2021-09-18
35-44 years,15209,9665,5544,09,22,United States,2020-01-01,2021-09-18
45-54 years,39077,25561,13516,09,22,United States,2020-01-01,2021-09-18
55-64 years,90527,56768,33759,09,22,United States,2020-01-01,2021-09-18
65-74 years,150792,91085,59707,09,22,United States,2020-01-01,2021-09-18
75-84 years,179399,100791,78608,09,22,United States,2020-01-01,2021-09-18
85 years and over,189273,81050,108223,09,22,United States,2020-01-01,2021-09-18
