age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,342,191,151,08,24,United States,2020-01-01,2022-08-20
1-4 years,177,90,87,08,24,United States,2020-01-01,2022-08-20
5-14 years,390,196,194,08,24,United States,2020-01-01,2022-08-20
15-24 years,2784,1649,1135,08,24,United States,2020-01-01,2022-08-20
25-34 years,11576,7101,4475,08,24,United States,2020-01-01,2022-08-20
35-44 years,28512,17691,10821,08,24,United States,2020-01-01,2022-08-20
45-54 years,68157,43582,24575,08,24,United States,2020-01-01,2022-08-20
55-64 years,150846,92962,57884,08,24,United States,2020-01-01,2022-08-20
65-74 years,237039,140815,96224,08,24,United States,2020-01-01,2022-08-20
75-84 years,268509,150704,117805,08,24,United States,2020-01-01,2022-08-20
85 years and over,270467,119014,151453,08,24,United States,2020-01-01,2022-08-20
