age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,385,215,170,11,30,United States,2020-01-01,2022-11-26
1-4 years,208,109,99,11,30,United States,2020-01-01,2022-11-26
5-14 years,428,217,211,11,30,United States,2020-01-01,2022-11-26
15-24 years,2858,1697,1161,11,30,United States,2020-01-01,2022-11-26
25-34 years,11870,7271,4599,11,30,United States,2020-01-01,2022-11-26
35-44 years,29076,18022,11054,11,30,United States,2020-01-01,2022-11-26
45-54 years,69339,44243,25096,11,30,United States,2020-01-01,2022-11-26
55-64 years,153924,94667,59257,11,30,United States,2020-01-01,2022-11-26
65-74 years,243622,144564,99058,11,30,United States,2020-01-01,2022-11-26
75-84 years,278544,156166,122378,11,30,United States,2020-01-01,2022-11-26
85 years and over,283703,124939,158764,11,30,United States,2020-01-01,2022-11-26
