iso2,iso3,LocID,location_fin,location_jhu,loc_type_fin,location_ihme,loc_id,month_jhu,day_jhu,deaths_jhu,deaths_ihme,month_ihme,day_ihme,date_ihme_prod,country_region,geo_type_valid,population
NA,NA,NA,Australian Capital Territory,Australian Capital Territory,NA,NA,NA,05,16,3,NA,NA,NA,NA,Australia,province_state,NA
NA,NA,NA,New South Wales,New South Wales,NA,NA,NA,05,16,54,NA,NA,NA,NA,Australia,province_state,NA
NA,NA,NA,Northern Territory,Northern Territory,NA,NA,NA,05,16,0,NA,NA,NA,NA,Australia,province_state,NA
NA,NA,NA,Queensland,Queensland,NA,NA,NA,05,16,7,NA,NA,NA,NA,Australia,province_state,NA
NA,NA,NA,South Australia,South Australia,NA,NA,NA,05,16,4,NA,NA,NA,NA,Australia,province_state,NA
NA,NA,NA,Tasmania,Tasmania,NA,NA,NA,05,16,13,NA,NA,NA,NA,Australia,province_state,NA
NA,NA,NA,Victoria,Victoria,NA,NA,NA,05,16,820,NA,NA,NA,NA,Australia,province_state,NA
NA,NA,NA,Western Australia,Western Australia,NA,NA,NA,05,16,9,NA,NA,NA,NA,Australia,province_state,NA
NA,NA,NA,Antwerp,Antwerp,NA,NA,NA,05,16,0,NA,NA,NA,NA,Belgium,province_state,NA
NA,NA,NA,Brussels,Brussels,NA,NA,NA,05,16,0,NA,NA,NA,NA,Belgium,province_state,NA
NA,NA,NA,East Flanders,East Flanders,NA,NA,NA,05,16,0,NA,NA,NA,NA,Belgium,province_state,NA
NA,NA,NA,Flemish Brabant,Flemish Brabant,NA,NA,NA,05,16,0,NA,NA,NA,NA,Belgium,province_state,NA
NA,NA,NA,Hainaut,Hainaut,NA,NA,NA,05,16,0,NA,NA,NA,NA,Belgium,province_state,NA
NA,NA,NA,Liege,Liege,NA,NA,NA,05,16,0,NA,NA,NA,NA,Belgium,province_state,NA
NA,NA,NA,Limburg,Limburg,NA,NA,NA,05,16,0,NA,NA,NA,NA,Belgium,province_state,NA
NA,NA,NA,Luxembourg,Luxembourg,NA,NA,NA,05,16,0,NA,NA,NA,NA,Belgium,province_state,NA
NA,NA,NA,Namur,Namur,NA,NA,NA,05,16,0,NA,NA,NA,NA,Belgium,province_state,NA
NA,NA,NA,Unknown,Unknown,NA,NA,NA,05,16,24686,NA,NA,NA,NA,Belgium,province_state,NA
NA,NA,NA,Walloon Brabant,Walloon Brabant,NA,NA,NA,05,16,0,NA,NA,NA,NA,Belgium,province_state,NA
NA,NA,NA,West Flanders,West Flanders,NA,NA,NA,05,16,0,NA,NA,NA,NA,Belgium,province_state,NA
NA,NA,BR12,Acre,Acre,Brazil,Acre,BR12,05,16,1612,1276.175,01,01,2021-05-16,Brazil,province_state,NA
NA,NA,BR27,Alagoas,Alagoas,Brazil,Alagoas,BR27,05,16,4478,10474.59,01,01,2021-05-16,Brazil,province_state,NA
NA,NA,BR16,Amapa,Amapa,Brazil,Amapa,BR16,05,16,1614,1043.292,01,01,2021-05-16,Brazil,province_state,NA
NA,NA,BR13,Amazonas,Amazonas,Brazil,Amazonas,BR13,05,16,12824,8044.325,01,01,2021-05-16,Brazil,province_state,NA
NA,NA,BR29,Bahia,Bahia,Brazil,Bahia,BR29,05,16,19831,16606.41,01,01,2021-05-16,Brazil,province_state,NA
NA,NA,BR23,Ceara,Ceara,Brazil,Ceara,BR23,05,16,19069,33208.48,01,01,2021-05-16,Brazil,province_state,NA
NA,NA,BR53,Distrito Federal,Distrito Federal,Brazil,Distrito Federal,BR53,05,16,8298,4263,01,01,2021-05-16,Brazil,province_state,NA
NA,NA,BR32,Espirito Santo,Espirito Santo,Brazil,Espirito Santo,BR32,05,16,10178,6776.977,01,01,2021-05-16,Brazil,province_state,NA
NA,NA,BR52,Goias,Goias,Brazil,Goias,BR52,05,16,16080,7474.143,01,01,2021-05-16,Brazil,province_state,NA
NA,NA,BR21,Maranhao,Maranhao,Brazil,Maranhao,BR21,05,16,7691,31335.38,01,01,2021-05-16,Brazil,province_state,NA
NA,NA,BR51,Mato Grosso,Mato Grosso,Brazil,Mato Grosso,BR51,05,16,10213,4467,01,01,2021-05-16,Brazil,province_state,NA
NA,NA,BR50,Mato Grosso do Sul,Mato Grosso do Sul,Brazil,Mato Grosso do Sul,BR50,05,16,6194,2347,01,01,2021-05-16,Brazil,province_state,NA
NA,NA,BR31,Minas Gerais,Minas Gerais,Brazil,Minas Gerais,BR31,05,16,37283,16890.16,01,01,2021-05-16,Brazil,province_state,NA
NA,NA,BR15,Para,Para,Brazil,Para,BR15,05,16,13886,14581.69,01,01,2021-05-16,Brazil,province_state,NA
NA,NA,BR25,Paraiba,Paraiba,Brazil,Paraiba,BR25,05,16,7201,5959.156,01,01,2021-05-16,Brazil,province_state,NA
NA,NA,BR41,Parana,Parana,Brazil,Parana,BR41,05,16,24597,8759.702,01,01,2021-05-16,Brazil,province_state,NA
NA,NA,BR26,Pernambuco,Pernambuco,Brazil,Pernambuco,BR26,05,16,14906,18060.34,01,01,2021-05-16,Brazil,province_state,NA
NA,NA,BR22,Piaui,Piaui,Brazil,Piaui,BR22,05,16,5496,2840,01,01,2021-05-16,Brazil,province_state,NA
NA,NA,BR33,Rio de Janeiro,Rio de Janeiro,Brazil,Rio de Janeiro,BR33,05,16,47951,33095.28,01,01,2021-05-16,Brazil,province_state,NA
NA,NA,BR24,Rio Grande do Norte,Rio Grande do Norte,Brazil,Rio Grande do Norte,BR24,05,16,5805,2993,01,01,2021-05-16,Brazil,province_state,NA
NA,NA,BR43,Rio Grande do Sul,Rio Grande do Sul,Brazil,Rio Grande do Sul,BR43,05,16,26657,8917,01,01,2021-05-16,Brazil,province_state,NA
NA,NA,BR11,Rondonia,Rondonia,Brazil,Rondonia,BR11,05,16,5475,2237.589,01,01,2021-05-16,Brazil,province_state,NA
