age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,231,128,103,03,09,United States,2020-01-01,2022-03-05
1-4 years,105,54,51,03,09,United States,2020-01-01,2022-03-05
5-14 years,280,149,131,03,09,United States,2020-01-01,2022-03-05
15-24 years,2505,1477,1028,03,09,United States,2020-01-01,2022-03-05
25-34 years,10588,6502,4086,03,09,United States,2020-01-01,2022-03-05
35-44 years,26515,16508,10007,03,09,United States,2020-01-01,2022-03-05
45-54 years,64067,41213,22854,03,09,United States,2020-01-01,2022-03-05
55-64 years,140610,86887,53723,03,09,United States,2020-01-01,2022-03-05
65-74 years,219605,130596,89009,03,09,United States,2020-01-01,2022-03-05
75-84 years,246590,138529,108061,03,09,United States,2020-01-01,2022-03-05
85 years and over,245990,107870,138120,03,09,United States,2020-01-01,2022-03-05
