age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,430,238,192,02,15,United States,2020-01-01,2023-02-11
1-4 years,240,130,110,02,15,United States,2020-01-01,2023-02-11
5-14 years,453,231,222,02,15,United States,2020-01-01,2023-02-11
15-24 years,2928,1737,1191,02,15,United States,2020-01-01,2023-02-11
25-34 years,12081,7407,4674,02,15,United States,2020-01-01,2023-02-11
35-44 years,29518,18263,11255,02,15,United States,2020-01-01,2023-02-11
45-54 years,70258,44756,25502,02,15,United States,2020-01-01,2023-02-11
55-64 years,156574,96105,60469,02,15,United States,2020-01-01,2023-02-11
65-74 years,249887,148105,101782,02,15,United States,2020-01-01,2023-02-11
75-84 years,288634,161657,126977,02,15,United States,2020-01-01,2023-02-11
85 years and over,297359,131038,166321,02,15,United States,2020-01-01,2023-02-11
