region,subregion_or_country,type_geo,country_province_or_state,deaths,month,day,date_ihme_prod
EUROPE,Northern Europe,country,Sweden,10196.008,08,24,2020_05_08
EUROPE,Northern Europe,country,United Kingdom,40555.021,08,24,2020_05_08
EUROPE,Southern Europe,country,Italy,31458.484,08,24,2020_05_08
EUROPE,Southern Europe,country,Spain,27726.953,08,24,2020_05_08
EUROPE,Western Europe,country,Belgium,9464.23,08,24,2020_05_08
EUROPE,Western Europe,country,France,28859.147,08,24,2020_05_08
EUROPE,Western Europe,country,Germany,8543.05,08,24,2020_05_08
EUROPE,Western Europe,country,Netherlands,6572.45,08,24,2020_05_08
EUROPE,Western Europe,country,Switzerland,2147.734,08,24,2020_05_08
NORTHERN AMERICA,NORTHERN AMERICA,country,Canada,6621.974,08,24,2020_05_08
NORTHERN AMERICA,NORTHERN AMERICA,country,United States of America,NA,NA,NA,2020_05_08
NORTHERN AMERICA,United States of America,state_province,California,NA,NA,NA,2020_05_08
NORTHERN AMERICA,United States of America,state_province,Connecticut,NA,NA,NA,2020_05_08
NORTHERN AMERICA,United States of America,state_province,Illinois,NA,NA,NA,2020_05_08
NORTHERN AMERICA,United States of America,state_province,Louisiana,NA,NA,NA,2020_05_08
NORTHERN AMERICA,United States of America,state_province,Massachusetts,NA,NA,NA,2020_05_08
NORTHERN AMERICA,United States of America,state_province,Michigan,NA,NA,NA,2020_05_08
NORTHERN AMERICA,United States of America,state_province,New Jersey,NA,NA,NA,2020_05_08
NORTHERN AMERICA,United States of America,state_province,New York,NA,NA,NA,2020_05_08
NORTHERN AMERICA,United States of America,state_province,Pennsylvania,NA,NA,NA,2020_05_08
