age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,236,131,105,03,16,United States,2020-01-01,2022-03-12
1-4 years,111,58,53,03,16,United States,2020-01-01,2022-03-12
5-14 years,293,154,139,03,16,United States,2020-01-01,2022-03-12
15-24 years,2532,1494,1038,03,16,United States,2020-01-01,2022-03-12
25-34 years,10701,6569,4132,03,16,United States,2020-01-01,2022-03-12
35-44 years,26753,16652,10101,03,16,United States,2020-01-01,2022-03-12
45-54 years,64682,41564,23118,03,16,United States,2020-01-01,2022-03-12
55-64 years,142136,87796,54340,03,16,United States,2020-01-01,2022-03-12
65-74 years,222071,132092,89979,03,16,United States,2020-01-01,2022-03-12
75-84 years,249305,140080,109225,03,16,United States,2020-01-01,2022-03-12
85 years and over,248224,108964,139260,03,16,United States,2020-01-01,2022-03-12
