age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,401,223,178,12,28,United States,2020-01-01,2022-12-24
1-4 years,214,111,103,12,28,United States,2020-01-01,2022-12-24
5-14 years,434,221,213,12,28,United States,2020-01-01,2022-12-24
15-24 years,2889,1716,1173,12,28,United States,2020-01-01,2022-12-24
25-34 years,11932,7315,4617,12,28,United States,2020-01-01,2022-12-24
35-44 years,29219,18091,11128,12,28,United States,2020-01-01,2022-12-24
45-54 years,69622,44396,25226,12,28,United States,2020-01-01,2022-12-24
55-64 years,154729,95102,59627,12,28,United States,2020-01-01,2022-12-24
65-74 years,245547,145656,99891,12,28,United States,2020-01-01,2022-12-24
75-84 years,281640,157860,123780,12,28,United States,2020-01-01,2022-12-24
85 years and over,287931,126852,161079,12,28,United States,2020-01-01,2022-12-24
