age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,404,225,179,01,04,United States,2020-01-01,2022-12-31
1-4 years,217,113,104,01,04,United States,2020-01-01,2022-12-31
5-14 years,435,222,213,01,04,United States,2020-01-01,2022-12-31
15-24 years,2894,1720,1174,01,04,United States,2020-01-01,2022-12-31
25-34 years,11949,7328,4621,01,04,United States,2020-01-01,2022-12-31
35-44 years,29248,18105,11143,01,04,United States,2020-01-01,2022-12-31
45-54 years,69690,44429,25261,01,04,United States,2020-01-01,2022-12-31
55-64 years,154920,95205,59715,01,04,United States,2020-01-01,2022-12-31
65-74 years,246021,145916,100105,01,04,United States,2020-01-01,2022-12-31
75-84 years,282430,158283,124147,01,04,United States,2020-01-01,2022-12-31
85 years and over,288990,127340,161650,01,04,United States,2020-01-01,2022-12-31
