age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,264,142,122,06,29,United States,2020-01-01,2022-06-25
1-4 years,147,76,71,06,29,United States,2020-01-01,2022-06-25
5-14 years,349,179,170,06,29,United States,2020-01-01,2022-06-25
15-24 years,2661,1572,1089,06,29,United States,2020-01-01,2022-06-25
25-34 years,11246,6900,4346,06,29,United States,2020-01-01,2022-06-25
35-44 years,27817,17293,10524,06,29,United States,2020-01-01,2022-06-25
45-54 years,66744,42776,23968,06,29,United States,2020-01-01,2022-06-25
55-64 years,147327,90929,56398,06,29,United States,2020-01-01,2022-06-25
65-74 years,230690,137143,93547,06,29,United States,2020-01-01,2022-06-25
75-84 years,259615,145788,113827,06,29,United States,2020-01-01,2022-06-25
85 years and over,259352,113894,145458,06,29,United States,2020-01-01,2022-06-25
