age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,355,195,160,09,21,United States,2020-01-01,2022-09-17
1-4 years,188,97,91,09,21,United States,2020-01-01,2022-09-17
5-14 years,401,200,201,09,21,United States,2020-01-01,2022-09-17
15-24 years,2807,1667,1140,09,21,United States,2020-01-01,2022-09-17
25-34 years,11673,7155,4518,09,21,United States,2020-01-01,2022-09-17
35-44 years,28739,17811,10928,09,21,United States,2020-01-01,2022-09-17
45-54 years,68595,43844,24751,09,21,United States,2020-01-01,2022-09-17
55-64 years,151934,93571,58363,09,21,United States,2020-01-01,2022-09-17
65-74 years,239342,142145,97197,09,21,United States,2020-01-01,2022-09-17
75-84 years,271923,152552,119371,09,21,United States,2020-01-01,2022-09-17
85 years and over,274824,120983,153841,09,21,United States,2020-01-01,2022-09-17
