age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,314,178,136,08,03,United States,2020-01-01,2022-07-30
1-4 years,170,88,82,08,03,United States,2020-01-01,2022-07-30
5-14 years,375,191,184,08,03,United States,2020-01-01,2022-07-30
15-24 years,2732,1614,1118,08,03,United States,2020-01-01,2022-07-30
25-34 years,11451,7026,4425,08,03,United States,2020-01-01,2022-07-30
35-44 years,28253,17549,10704,08,03,United States,2020-01-01,2022-07-30
45-54 years,67552,43246,24306,08,03,United States,2020-01-01,2022-07-30
55-64 years,149354,92105,57249,08,03,United States,2020-01-01,2022-07-30
65-74 years,234320,139239,95081,08,03,United States,2020-01-01,2022-07-30
75-84 years,264711,148575,116136,08,03,United States,2020-01-01,2022-07-30
85 years and over,265583,116771,148812,08,03,United States,2020-01-01,2022-07-30
