age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,287,157,130,05,18,United States,2020-01-01,2022-05-14
1-4 years,140,69,71,05,18,United States,2020-01-01,2022-05-14
5-14 years,334,173,161,05,18,United States,2020-01-01,2022-05-14
15-24 years,2655,1569,1086,05,18,United States,2020-01-01,2022-05-14
25-34 years,11201,6878,4323,05,18,United States,2020-01-01,2022-05-14
35-44 years,27763,17263,10500,05,18,United States,2020-01-01,2022-05-14
45-54 years,66677,42748,23929,05,18,United States,2020-01-01,2022-05-14
55-64 years,147179,90831,56348,05,18,United States,2020-01-01,2022-05-14
65-74 years,230168,136896,93272,05,18,United States,2020-01-01,2022-05-14
75-84 years,258177,145080,113097,05,18,United States,2020-01-01,2022-05-14
85 years and over,256480,112709,143771,05,18,United States,2020-01-01,2022-05-14
