age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,151,82,69,11,24,United States,2020-01-01,2021-11-20
1-4 years,68,35,33,11,24,United States,2020-01-01,2021-11-20
5-14 years,199,108,91,11,24,United States,2020-01-01,2021-11-20
15-24 years,1896,1132,764,11,24,United States,2020-01-01,2021-11-20
25-34 years,8186,5020,3166,11,24,United States,2020-01-01,2021-11-20
35-44 years,20810,13101,7709,11,24,United States,2020-01-01,2021-11-20
45-54 years,50793,32873,17920,11,24,United States,2020-01-01,2021-11-20
55-64 years,111104,69030,42074,11,24,United States,2020-01-01,2021-11-20
65-74 years,175430,105013,70417,11,24,United States,2020-01-01,2021-11-20
75-84 years,200202,112327,87875,11,24,United States,2020-01-01,2021-11-20
85 years and over,204973,88322,116651,11,24,United States,2020-01-01,2021-11-20
