age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,440,243,197,03,08,United States,2020-01-01,2023-03-04
1-4 years,245,132,113,03,08,United States,2020-01-01,2023-03-04
5-14 years,461,236,225,03,08,United States,2020-01-01,2023-03-04
15-24 years,2949,1750,1199,03,08,United States,2020-01-01,2023-03-04
25-34 years,12136,7441,4695,03,08,United States,2020-01-01,2023-03-04
35-44 years,29663,18341,11322,03,08,United States,2020-01-01,2023-03-04
45-54 years,70484,44879,25605,03,08,United States,2020-01-01,2023-03-04
55-64 years,157236,96480,60756,03,08,United States,2020-01-01,2023-03-04
65-74 years,251321,148922,102399,03,08,United States,2020-01-01,2023-03-04
75-84 years,290862,162892,127970,03,08,United States,2020-01-01,2023-03-04
85 years and over,300134,132298,167836,03,08,United States,2020-01-01,2023-03-04
