age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,244,133,111,03,30,United States,2020-01-01,2022-03-26
1-4 years,119,62,57,03,30,United States,2020-01-01,2022-03-26
5-14 years,300,158,142,03,30,United States,2020-01-01,2022-03-26
15-24 years,2571,1523,1048,03,30,United States,2020-01-01,2022-03-26
25-34 years,10877,6674,4203,03,30,United States,2020-01-01,2022-03-26
35-44 years,27106,16863,10243,03,30,United States,2020-01-01,2022-03-26
45-54 years,65391,41987,23404,03,30,United States,2020-01-01,2022-03-26
55-64 years,143939,88860,55079,03,30,United States,2020-01-01,2022-03-26
65-74 years,225131,133917,91214,03,30,United States,2020-01-01,2022-03-26
75-84 years,252485,141898,110587,03,30,United States,2020-01-01,2022-03-26
85 years and over,251000,110283,140717,03,30,United States,2020-01-01,2022-03-26
