age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,203,112,91,02,09,United States,2020-01-01,2022-02-05
1-4 years,93,49,44,02,09,United States,2020-01-01,2022-02-05
5-14 years,244,129,115,02,09,United States,2020-01-01,2022-02-05
15-24 years,2347,1387,960,02,09,United States,2020-01-01,2022-02-05
25-34 years,9964,6132,3832,02,09,United States,2020-01-01,2022-02-05
35-44 years,25116,15733,9383,02,09,United States,2020-01-01,2022-02-05
45-54 years,60577,39090,21487,02,09,United States,2020-01-01,2022-02-05
55-64 years,132106,81804,50302,02,09,United States,2020-01-01,2022-02-05
65-74 years,205457,122279,83178,02,09,United States,2020-01-01,2022-02-05
75-84 years,230870,129520,101350,02,09,United States,2020-01-01,2022-02-05
85 years and over,231722,100931,130791,02,09,United States,2020-01-01,2022-02-05
