age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,346,192,154,09,07,United States,2020-01-01,2022-09-03
1-4 years,181,92,89,09,07,United States,2020-01-01,2022-09-03
5-14 years,395,200,195,09,07,United States,2020-01-01,2022-09-03
15-24 years,2797,1660,1137,09,07,United States,2020-01-01,2022-09-03
25-34 years,11630,7129,4501,09,07,United States,2020-01-01,2022-09-03
35-44 years,28637,17761,10876,09,07,United States,2020-01-01,2022-09-03
45-54 years,68379,43725,24654,09,07,United States,2020-01-01,2022-09-03
55-64 years,151407,93275,58132,09,07,United States,2020-01-01,2022-09-03
65-74 years,238193,141504,96689,09,07,United States,2020-01-01,2022-09-03
75-84 years,270196,151639,118557,09,07,United States,2020-01-01,2022-09-03
85 years and over,272599,119989,152610,09,07,United States,2020-01-01,2022-09-03
