region,subregion_or_country,type_geo,country_province_or_state,deaths,month,day,date_ihme_prod
EUROPE,Northern Europe,country,Sweden,5257.798,08,24,2020_05_23
EUROPE,Northern Europe,country,United Kingdom,44388.863,08,24,2020_05_23
EUROPE,Southern Europe,country,Italy,43297.302,08,24,2020_05_23
EUROPE,Southern Europe,country,Spain,36235.144,08,24,2020_05_23
EUROPE,Western Europe,country,Belgium,9698.804,08,24,2020_05_23
EUROPE,Western Europe,country,France,31466.144,08,24,2020_05_23
EUROPE,Western Europe,country,Germany,9145.755,08,24,2020_05_23
EUROPE,Western Europe,country,Netherlands,6126.709,08,24,2020_05_23
EUROPE,Western Europe,country,Switzerland,1931.061,08,24,2020_05_23
NORTHERN AMERICA,NORTHERN AMERICA,country,Canada,8147.794,08,24,2020_05_23
NORTHERN AMERICA,NORTHERN AMERICA,country,United States of America,143357.04,08,24,2020_05_23
NORTHERN AMERICA,United States of America,state_province,California,6841.939,08,24,2020_05_23
NORTHERN AMERICA,United States of America,state_province,Connecticut,4859.513,08,24,2020_05_23
NORTHERN AMERICA,United States of America,state_province,Illinois,8780.967,08,24,2020_05_23
NORTHERN AMERICA,United States of America,state_province,Louisiana,3140.723,08,24,2020_05_23
NORTHERN AMERICA,United States of America,state_province,Massachusetts,8949.261,08,24,2020_05_23
NORTHERN AMERICA,United States of America,state_province,Michigan,6042.969,08,24,2020_05_23
NORTHERN AMERICA,United States of America,state_province,New Jersey,14070.14,08,24,2020_05_23
NORTHERN AMERICA,United States of America,state_province,New York,32135.476,08,24,2020_05_23
NORTHERN AMERICA,United States of America,state_province,Pennsylvania,9622.751,08,24,2020_05_23
