age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,395,220,175,12,14,United States,2020-01-01,2022-12-10
1-4 years,210,110,100,12,14,United States,2020-01-01,2022-12-10
5-14 years,431,219,212,12,14,United States,2020-01-01,2022-12-10
15-24 years,2875,1705,1170,12,14,United States,2020-01-01,2022-12-10
25-34 years,11904,7295,4609,12,14,United States,2020-01-01,2022-12-10
35-44 years,29164,18065,11099,12,14,United States,2020-01-01,2022-12-10
45-54 years,69485,44315,25170,12,14,United States,2020-01-01,2022-12-10
55-64 years,154350,94905,59445,12,14,United States,2020-01-01,2022-12-10
65-74 years,244571,145123,99448,12,14,United States,2020-01-01,2022-12-10
75-84 years,280119,157018,123101,12,14,United States,2020-01-01,2022-12-10
85 years and over,285856,125916,159940,12,14,United States,2020-01-01,2022-12-10
