age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,424,236,188,02,08,United States,2020-01-01,2023-02-04
1-4 years,235,128,107,02,08,United States,2020-01-01,2023-02-04
5-14 years,449,230,219,02,08,United States,2020-01-01,2023-02-04
15-24 years,2920,1732,1188,02,08,United States,2020-01-01,2023-02-04
25-34 years,12062,7394,4668,02,08,United States,2020-01-01,2023-02-04
35-44 years,29469,18235,11234,02,08,United States,2020-01-01,2023-02-04
45-54 years,70172,44706,25466,02,08,United States,2020-01-01,2023-02-04
55-64 years,156328,95971,60357,02,08,United States,2020-01-01,2023-02-04
65-74 years,249280,147749,101531,02,08,United States,2020-01-01,2023-02-04
75-84 years,287768,161188,126580,02,08,United States,2020-01-01,2023-02-04
85 years and over,296298,130585,165713,02,08,United States,2020-01-01,2023-02-04
