age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,253,136,117,04,13,United States,2020-01-01,2022-04-09
1-4 years,123,64,59,04,13,United States,2020-01-01,2022-04-09
5-14 years,312,164,148,04,13,United States,2020-01-01,2022-04-09
15-24 years,2605,1541,1064,04,13,United States,2020-01-01,2022-04-09
25-34 years,10988,6746,4242,04,13,United States,2020-01-01,2022-04-09
35-44 years,27357,17013,10344,04,13,United States,2020-01-01,2022-04-09
45-54 years,65888,42267,23621,04,13,United States,2020-01-01,2022-04-09
55-64 years,145233,89640,55593,04,13,United States,2020-01-01,2022-04-09
65-74 years,227218,135116,92102,04,13,United States,2020-01-01,2022-04-09
75-84 years,254725,143162,111563,04,13,United States,2020-01-01,2022-04-09
85 years and over,252928,111149,141779,04,13,United States,2020-01-01,2022-04-09
