age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,200,110,90,02,02,United States,2020-01-01,2022-01-29
1-4 years,87,45,42,02,02,United States,2020-01-01,2022-01-29
5-14 years,235,127,108,02,02,United States,2020-01-01,2022-01-29
15-24 years,2301,1364,937,02,02,United States,2020-01-01,2022-01-29
25-34 years,9789,6033,3756,02,02,United States,2020-01-01,2022-01-29
35-44 years,24673,15458,9215,02,02,United States,2020-01-01,2022-01-29
45-54 years,59422,38356,21066,02,02,United States,2020-01-01,2022-01-29
55-64 years,129476,80229,49247,02,02,United States,2020-01-01,2022-01-29
65-74 years,201292,119879,81413,02,02,United States,2020-01-01,2022-01-29
75-84 years,225952,126727,99225,02,02,United States,2020-01-01,2022-01-29
85 years and over,227060,98714,128346,02,02,United States,2020-01-01,2022-01-29
