age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,275,146,129,05,11,United States,2020-01-01,2022-05-07
1-4 years,138,68,70,05,11,United States,2020-01-01,2022-05-07
5-14 years,334,173,161,05,11,United States,2020-01-01,2022-05-07
15-24 years,2643,1560,1083,05,11,United States,2020-01-01,2022-05-07
25-34 years,11164,6853,4311,05,11,United States,2020-01-01,2022-05-07
35-44 years,27693,17219,10474,05,11,United States,2020-01-01,2022-05-07
45-54 years,66551,42672,23879,05,11,United States,2020-01-01,2022-05-07
55-64 years,146885,90650,56235,05,11,United States,2020-01-01,2022-05-07
65-74 years,229682,136604,93078,05,11,United States,2020-01-01,2022-05-07
75-84 years,257553,144726,112827,05,11,United States,2020-01-01,2022-05-07
85 years and over,255780,112378,143402,05,11,United States,2020-01-01,2022-05-07
