age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,299,165,134,06,02,United States,2020-01-01,2022-05-28
1-4 years,143,71,72,06,02,United States,2020-01-01,2022-05-28
5-14 years,341,177,164,06,02,United States,2020-01-01,2022-05-28
15-24 years,2674,1586,1088,06,02,United States,2020-01-01,2022-05-28
25-34 years,11275,6920,4355,06,02,United States,2020-01-01,2022-05-28
35-44 years,27870,17323,10547,06,02,United States,2020-01-01,2022-05-28
45-54 years,66892,42875,24017,06,02,United States,2020-01-01,2022-05-28
55-64 years,147658,91112,56546,06,02,United States,2020-01-01,2022-05-28
65-74 years,231026,137373,93653,06,02,United States,2020-01-01,2022-05-28
75-84 years,259244,145668,113576,06,02,United States,2020-01-01,2022-05-28
85 years and over,257814,113285,144529,06,02,United States,2020-01-01,2022-05-28
