age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,418,231,187,02,01,United States,2020-01-01,2023-01-28
1-4 years,232,126,106,02,01,United States,2020-01-01,2023-01-28
5-14 years,447,229,218,02,01,United States,2020-01-01,2023-01-28
15-24 years,2916,1731,1185,02,01,United States,2020-01-01,2023-01-28
25-34 years,12040,7379,4661,02,01,United States,2020-01-01,2023-01-28
35-44 years,29419,18205,11214,02,01,United States,2020-01-01,2023-01-28
45-54 years,70066,44644,25422,02,01,United States,2020-01-01,2023-01-28
55-64 years,156041,95823,60218,02,01,United States,2020-01-01,2023-01-28
65-74 years,248635,147367,101268,02,01,United States,2020-01-01,2023-01-28
75-84 years,286729,160613,126116,02,01,United States,2020-01-01,2023-01-28
85 years and over,295010,130018,164992,02,01,United States,2020-01-01,2023-01-28
