region,subregion_or_country,type_geo,country_province_or_state,month,day,deaths
ASIA,Eastern Asia,state_province,Hubei,06,08,4512
NORTHERN AMERICA,United States of America,state_province,California,06,08,4632
NORTHERN AMERICA,United States of America,state_province,Connecticut,06,08,4071
NORTHERN AMERICA,United States of America,state_province,Illinois,06,08,5904
NORTHERN AMERICA,United States of America,state_province,Louisiana,06,08,2936
NORTHERN AMERICA,United States of America,state_province,Massachusetts,06,08,7316
NORTHERN AMERICA,United States of America,state_province,Michigan,06,08,5895
NORTHERN AMERICA,United States of America,state_province,New Jersey,06,08,12176
NORTHERN AMERICA,United States of America,state_province,New York,06,08,30374
NORTHERN AMERICA,United States of America,state_province,Pennsylvania,06,08,5943
ASIA,Southern Asia,country,Iran,06,08,8281
ASIA,Western Asia,country,Turkey,06,08,4692
EUROPE,Northern Europe,country,Sweden,06,08,4659
EUROPE,Northern Europe,country,United Kingdom,06,08,40625
EUROPE,Southern Europe,country,Italy,06,08,33899
EUROPE,Southern Europe,country,Spain,06,08,27136
EUROPE,Western Europe,country,Belgium,06,08,9595
EUROPE,Western Europe,country,France,06,08,29158
EUROPE,Western Europe,country,Germany,06,08,8685
EUROPE,Western Europe,country,Netherlands,06,08,6032
EUROPE,Western Europe,country,Switzerland,06,08,1921
LATIN AMERICA & THE CARIBBEAN,South America,country,Brazil,06,08,36455
NORTHERN AMERICA,NA,country,Canada,06,08,7877
NORTHERN AMERICA,NA,country,United States of America,06,08,110525
