age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,174,95,79,01,06,United States,2020-01-01,2022-01-01
1-4 years,76,37,39,01,06,United States,2020-01-01,2022-01-01
5-14 years,214,117,97,01,06,United States,2020-01-01,2022-01-01
15-24 years,2127,1267,860,01,06,United States,2020-01-01,2022-01-01
25-34 years,9015,5544,3471,01,06,United States,2020-01-01,2022-01-01
35-44 years,22901,14354,8547,01,06,United States,2020-01-01,2022-01-01
45-54 years,55377,35808,19569,01,06,United States,2020-01-01,2022-01-01
55-64 years,120338,74724,45614,01,06,United States,2020-01-01,2022-01-01
65-74 years,188222,112335,75887,01,06,United States,2020-01-01,2022-01-01
75-84 years,212126,119017,93109,01,06,United States,2020-01-01,2022-01-01
85 years and over,214513,92775,121738,01,06,United States,2020-01-01,2022-01-01
