age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,344,192,152,08,31,United States,2020-01-01,2022-08-27
1-4 years,178,91,87,08,31,United States,2020-01-01,2022-08-27
5-14 years,394,199,195,08,31,United States,2020-01-01,2022-08-27
15-24 years,2793,1657,1136,08,31,United States,2020-01-01,2022-08-27
25-34 years,11603,7114,4489,08,31,United States,2020-01-01,2022-08-27
35-44 years,28577,17726,10851,08,31,United States,2020-01-01,2022-08-27
45-54 years,68269,43657,24612,08,31,United States,2020-01-01,2022-08-27
55-64 years,151155,93140,58015,08,31,United States,2020-01-01,2022-08-27
65-74 years,237684,141198,96486,08,31,United States,2020-01-01,2022-08-27
75-84 years,269469,151228,118241,08,31,United States,2020-01-01,2022-08-27
85 years and over,271627,119564,152063,08,31,United States,2020-01-01,2022-08-27
