age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,148,79,69,11,17,United States,2020-01-01,2021-11-13
1-4 years,66,33,33,11,17,United States,2020-01-01,2021-11-13
5-14 years,194,104,90,11,17,United States,2020-01-01,2021-11-13
15-24 years,1859,1111,748,11,17,United States,2020-01-01,2021-11-13
25-34 years,8033,4932,3101,11,17,United States,2020-01-01,2021-11-13
35-44 years,20417,12856,7561,11,17,United States,2020-01-01,2021-11-13
45-54 years,49924,32336,17588,11,17,United States,2020-01-01,2021-11-13
55-64 years,109611,68126,41485,11,17,United States,2020-01-01,2021-11-13
65-74 years,173365,103823,69542,11,17,United States,2020-01-01,2021-11-13
75-84 years,198318,111283,87035,11,17,United States,2020-01-01,2021-11-13
85 years and over,203385,87596,115789,11,17,United States,2020-01-01,2021-11-13
