age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,456,251,205,03,22,United States,2020-01-01,2023-03-18
1-4 years,250,134,116,03,22,United States,2020-01-01,2023-03-18
5-14 years,467,241,226,03,22,United States,2020-01-01,2023-03-18
15-24 years,2956,1757,1199,03,22,United States,2020-01-01,2023-03-18
25-34 years,12167,7460,4707,03,22,United States,2020-01-01,2023-03-18
35-44 years,29715,18373,11342,03,22,United States,2020-01-01,2023-03-18
45-54 years,70626,44962,25664,03,22,United States,2020-01-01,2023-03-18
55-64 years,157569,96667,60902,03,22,United States,2020-01-01,2023-03-18
65-74 years,252069,149360,102709,03,22,United States,2020-01-01,2023-03-18
75-84 years,292111,163575,128536,03,22,United States,2020-01-01,2023-03-18
85 years and over,301731,132990,168741,03,22,United States,2020-01-01,2023-03-18
