age_group,deaths_all,deaths_m,deaths_f,month,day,state
Under 1 year,5,3,2,05,28,United States
1-4 years,3,1,2,05,28,United States
5-14 years,11,9,2,05,28,United States
15-24 years,93,61,32,05,28,United States
25-34 years,542,372,170,05,28,United States
35-44 years,1403,1010,393,05,28,United States
45-54 years,3893,2767,1126,05,28,United States
55-64 years,9776,6448,3328,05,28,United States
65-74 years,16981,10632,6349,05,28,United States
75-84 years,21822,12045,9777,05,28,United States
85 years and over,26843,10729,16113,05,28,United States
