age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,381,212,169,11,16,United States,2020-01-01,2022-11-12
1-4 years,207,108,99,11,16,United States,2020-01-01,2022-11-12
5-14 years,426,216,210,11,16,United States,2020-01-01,2022-11-12
15-24 years,2848,1692,1156,11,16,United States,2020-01-01,2022-11-12
25-34 years,11840,7251,4589,11,16,United States,2020-01-01,2022-11-12
35-44 years,29017,17987,11030,11,16,United States,2020-01-01,2022-11-12
45-54 years,69223,44176,25047,11,16,United States,2020-01-01,2022-11-12
55-64 years,153587,94481,59106,11,16,United States,2020-01-01,2022-11-12
65-74 years,242904,144156,98748,11,16,United States,2020-01-01,2022-11-12
75-84 years,277298,155486,121812,11,16,United States,2020-01-01,2022-11-12
85 years and over,282076,124226,157850,11,16,United States,2020-01-01,2022-11-12
