age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,361,197,164,10,12,United States,2020-01-01,2022-10-08
1-4 years,193,100,93,10,12,United States,2020-01-01,2022-10-08
5-14 years,415,210,205,10,12,United States,2020-01-01,2022-10-08
15-24 years,2826,1678,1148,10,12,United States,2020-01-01,2022-10-08
25-34 years,11741,7192,4549,10,12,United States,2020-01-01,2022-10-08
35-44 years,28852,17885,10967,10,12,United States,2020-01-01,2022-10-08
45-54 years,68854,43980,24874,10,12,United States,2020-01-01,2022-10-08
55-64 years,152612,93957,58655,10,12,United States,2020-01-01,2022-10-08
65-74 years,240714,142921,97793,10,12,United States,2020-01-01,2022-10-08
75-84 years,273996,153656,120340,10,12,United States,2020-01-01,2022-10-08
85 years and over,277655,122272,155383,10,12,United States,2020-01-01,2022-10-08
