age_group,deaths_all,deaths_m,deaths_f,month,day,state,date_start,date_end
Under 1 year,242,132,110,03,23,United States,2020-01-01,2022-03-19
1-4 years,113,59,54,03,23,United States,2020-01-01,2022-03-19
5-14 years,296,156,140,03,23,United States,2020-01-01,2022-03-19
15-24 years,2545,1506,1039,03,23,United States,2020-01-01,2022-03-19
25-34 years,10803,6629,4174,03,23,United States,2020-01-01,2022-03-19
35-44 years,26952,16771,10181,03,23,United States,2020-01-01,2022-03-19
45-54 years,65096,41813,23283,03,23,United States,2020-01-01,2022-03-19
55-64 years,143177,88401,54776,03,23,United States,2020-01-01,2022-03-19
65-74 years,223949,133217,90732,03,23,United States,2020-01-01,2022-03-19
75-84 years,251202,141149,110053,03,23,United States,2020-01-01,2022-03-19
85 years and over,249907,109778,140129,03,23,United States,2020-01-01,2022-03-19
